Mean,SD,Parameter,,,
50000,1.10E-08,J,,,
0.400000001,1.45E-09,k,,,
0.089999999,1.17E-09,b,,,
0.100000003,4.54E-09,c,,,
6.17E-08,1.64E-08,e1,,,
1.95E-07,5.66E-08,e2,,,
1.71E-07,9.83E-16,fD,,,
1.19E-06,1.73E-13,ftD,,,
0.037355575,0.004601294,alpha_B,,,
0.013576857,0.007536725,delta_B,,,
259000,1.06E-08,B_conv,,,
89.99368825,0.020100914,Ghb,,,
863.9884533,0.031730793,R0,,,
1.439840582,0.045880527,EG0,,,
4.663000009,7.816628592,SI,,,
43.87900654,1.927425626,sigmaI,,,
431.7253255,0.805335264,deltaI,,,
131.6022156,49.75949738,GI,,,
0.194,5.72E-11,Qpanc,,,
3,0,Qblood,,,
0.1,6.78E-12,Qspleen,,,
0.51,1.03E-11,mu_PB,,,
0.1,7.74E-17,mu_BP,,,
100000,1.48E-07,D_ss,,,
4.87E-06,5.67E-13,bDEday,,,
4.87E-06,1.20E-14,bIRday,,,
0.1199,6.37E-10,aEaday,,,
370,6.09E-10,T_naive,,,
12.00000012,3.49E-07,bpday,,,
0.009999973,3.86E-08,ramday,,,
0.001,7.07E-12,baEday,,,
0.001,6.61E-12,baRday,,,
0.01,1.33E-12,aEmday,,,
0.00025714,5.06E-05,mues_r AND mues_e,,,
212000,5.78E-08,thetaD,,,
0.50000015,3.42E-07,d,,,
1.000000189,5.09E-07,sE,,,
35.99999999,1.40E-08,sR,,,
0.110000152,5.29E-07,alpha_eta,,,
21.00000001,1.84E-08,beta_eta,,,
0.017595945,0.000421813,eta,,,