Mean,SD,Parameter
50000,6.97E-09,J
0.400000001,1.41E-09,k
0.089999999,1.16E-09,b
0.100000003,4.55E-09,c
6.17E-08,1.64E-08,e1
1.43E-07,4.60E-08,e2
1.71E-07,2.14E-16,fD
1.19E-06,1.72E-13,ftD
0.034826759,0.003016652,alpha_B
0.019628679,0.007078465,delta_B
259000,2.82E-10,B_conv
89.99992195,0.000120647,Ghb
863.9976626,0.003135327,R0
1.445438095,0.009001256,EG0
1.851180702,1.385277844,SI
43.22141068,0.038638038,sigmaI
431.9941444,0.016333969,deltaI
141.6903413,4.081261622,GI
0.194,5.33E-11,Qpanc
3,0,Qblood
0.1,4.18E-12,Qspleen
0.51,1.07E-11,mu_PB
0.1,1.06E-16,mu_BP
100000,4.39E-09,D_ss
4.87E-06,5.72E-13,bDEday
4.87E-06,9.18E-15,bIRday
0.1199,6.19E-10,aEaday
370,2.16E-11,T_naive
12,3.51E-09,bpday
0.009999974,3.95E-08,ramday
0.001,7.22E-12,baEday
0.001,6.86E-12,baRday
0.01,9.47E-14,aEmday
0.000257234,5.07E-05,mues_r AND mues_e
212000,2.79E-09,thetaD
0.500000033,5.25E-08,d
1.000000018,2.62E-08,sE
36,7.20E-10,sR
0.110000004,1.75E-08,alpha_eta
21,4.00E-10,beta_eta
0.017846847,0.000322726,eta