77.84,225.27,77.84,106.2613557,77.84,152.59,77.84,135.981177
96.11,235.73,96.11,113.62037,96.11,163.93,96.11,151.065542
98.7,237.19,98.7,114.6331012,98.7,165.53,98.7,153.100142
126.7,253.34,126.7,125.244525,126.7,182.42,126.7,173.526763
141.54,271.71,141.54,134.8307225,141.54,191.14,141.54,184.220733
141.89,272.61,141.89,135.2858273,141.89,191.34,141.89,184.507781
142.17,273.36,142.17,135.665413,142.17,191.5,142.17,184.740479
163.24,412.28,163.24,225.6206945,163.24,203.55,163.24,227.208753
173.53,489.65,173.53,308.0989163,173.53,259.92,173.53,293.536642
187.25,552.74,187.25,423.8585322,187.25,422.95,187.25,408.619792
201.53,581.73,201.53,513.264681,201.53,534.03,201.53,502.483556